"minority_dummy" "above_insurance" "opening_balance" "ln_maturity" "loanlink" "travel_costs" "ln_accountage" "ward" "runner" "uninsured_no_rel" "uninsured_rel" "loanlink_before" "loanlink_current" "loanlink_after" "household_key" "accountage" "days_maturity"
"162" 0 0 0.101803071796894 5.7397928237915 1 7 4.00733327865601 46 0 0 0 0 1 0 2748 55 310
"163" 0 0 0.101956166327 5.69373226165771 0 7 4.23410654067993 13 0 0 0 0 0 0 2136 69 296
"164" 0 0 0.102099999785423 6.48768424987793 0 NA 7.1921820640564 NA 0 0 0 0 0 0 NA 1329 656
"165" 0 0 0.102301366627216 6.47697257995605 0 2 7.19067621231079 6 0 0 0 0 0 0 42980 1327 649
"166" 1 0 0.102358907461166 6.47389078140259 0 2 7.14755916595459 6 0 0 0 0 0 0 2062 1271 647
"167" 0 0 0.102387666702271 6.47234630584717 0 2 7.17165660858154 6 0 0 0 0 0 0 64 1302 646
"168" 0 0 0.102387666702271 6.47234630584717 0 1 4.43081665039062 1 0 0 0 0 0 0 727 84 646
"169" 1 0 0.102502733469009 6.46614456176758 0 1 6.11809730529785 6 0 0 0 0 0 0 926 454 642
"170" 1 0 0.102632187306881 6.45912170410156 0 2 7.15851402282715 5 0 0 0 0 0 0 12995 1285 637.5
"171" 0 0 0.102732874453068 6.45362520217896 0 7 7.19818353652954 10 0 0 0 0 0 0 12623 1337 634
"172" 0 0 0.102790400385857 5.59098720550537 1 4 4.58496761322021 38 0 0 0 0 1 0 1933 98 267
"173" 0 0 0.103078082203865 6.43454647064209 0 7 6.16120719909668 47 0 0 0 0 0 0 430 474 622
"174" 0 0 0.103221923112869 6.42648839950562 0 4 7.0975489616394 2 0 0 0 0 0 0 1983 1209 617
"175" 1 0 0.103279158473015 3.25809645652771 0 2 6.88857269287109 5 0 0 0 0 0 0 12462 981 25
"176" 0 0 0.10359588265419 6.40522861480713 0 7 7.15617656707764 43 0 0 0 0 0 0 2758 1282 604
"177" 0 0 0.103682190179825 5.46806001663208 0 7 4.85981225967407 63 0 0 0 0 0 0 805 129 236
"178" 0 0 0.10371096432209 6.39859485626221 0 5 7.11151218414307 7 0 0 0 0 0 0 2970 1226 600
"179" 1 0 0.104142464697361 6.37331962585449 0 5 4.97673368453979 7 0 0 0 0 0 0 370 145 585
"180" 0 0 0.104228772222996 6.36818695068359 0 7 4.99721240997314 43 0 0 0 0 0 0 2195 148 582
"181" 1 0 0.104430139064789 6.35610771179199 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 575
"182" 1 0 0.104660280048847 6.34212160110474 0 5 7.20934009552002 7 0 0 0 0 0 0 707 1352 567
"183" 1 0 0.104890406131744 6.32793664932251 0 2 7.15539646148682 6 0 0 0 0 0 0 2492 1281 559
"184" 0 0 0.104890406131744 6.32793664932251 0 NA 7.14361763000488 NA 0 0 0 0 0 0 NA 1266 559
"185" 0 0 0.105350688099861 6.29894924163818 0 7 5.23110866546631 8 0 0 0 0 0 0 2235 187 543
"186" 1 0 0.105724662542343 6.27476215362549 0 6 6.33859395980835 40 0 0 0 0 0 0 476 566 530
"187" 0 0 0.106041096150875 5.6240177154541 0 4 5.35185813903809 38 0 0 0 0 0 0 3704 211 276
"188" 1 0 0.106417804956436 5.89852666854858 0 NA 7.14124488830566 NA 0 0 0 0 0 0 2941 1263 363.5
"189" 0 0 0.106871224939823 5.89026212692261 0 7 7.14755916595459 13 0 0 0 0 0 0 2075 1271 360.5
